,Input,,,,,,Output
Number,Hole ,Hole Depth,Burden to Spacing,Stemming,Max Charge,Powder Factor,Flyrock Distance
of blast,Diameter (mm) ,(m),Ratio,(m),Per Delay (Kg),(kg/m3),(m)
210,150,24,0.76,2.7,487.7,0.9,318
211,150,28.5,0.68,3.2,583.2,0.6,200
212,150,17,0.68,3,339.3,0.82,254
213,150,17,0.81,3.9,339.3,0.9,209
214,150,17,0.90,3.8,339.3,1,292
215,150,18,0.83,4,360.5,0.95,280
216,150,29,0.86,3.4,550.0,0.8,275
217,150,18,0.83,3.8,410.0,0.82,297
218,150,19,0.76,4,400.0,0.9,287
219,150,19,0.73,3.5,360.0,1.1,269
220,150,29,0.78,3.7,593.8,0.82,247
221,150,20,0.78,4,402.9,0.8,302
222,150,20,0.88,2.9,402.9,0.65,300
223,150,28,0.81,4,572.6,0.95,273
224,150,25,0.87,3.4,508.9,0.8,200
225,150,22,0.84,4.4,445.3,0.75,300
226,150,23,0.88,3.5,466.5,0.9,320
227,150,26,0.81,2.5,535.0,0.77,240
228,150,29,0.76,4.3,591.0,0.77,305
229,150,27.5,0.68,3.2,562.0,0.9,315
230,150,29,0.68,3,580.0,0.9,300
231,150,22,0.81,3.1,430.0,0.9,290
232,150,19,0.81,3.3,350.0,0.9,240
233,150,24,0.83,3.8,487.7,1.1,337
234,150,24,0.86,3.6,487.7,0.81,265
235,150,24,0.83,4,487.7,0.8,315
236,150,24,0.76,3.9,487.7,0.81,296
237,150,24,0.73,4.1,487.7,0.7,300
238,150,25,0.78,3.8,508.9,1,308
239,150,25,0.78,4.3,510.0,1.1,325
240,150,25,0.88,2.5,508.9,0.81,250
241,150,25,0.85,3.6,522.0,0.82,290
242,150,25,0.87,3.2,508.9,0.88,280
243,150,26,0.86,4.4,530.1,0.8,354
244,150,26,0.83,3.1,530.1,0.9,320
245,150,26,0.76,3.7,530.1,0.95,313
246,150,25.5,0.73,4.4,519.5,1.14,200
247,150,18.5,0.78,3,371.1,1,190
248,150,17,0.78,3.8,339.3,0.96,235
249,150,15.5,0.88,4.2,307.5,0.88,300
250,150,21,0.85,3.5,424.1,0.88,270
251,150,20.5,0.87,3.3,413.5,0.7,240
252,150,23,0.84,3.8,466.5,0.76,195
253,150,26,0.84,4.3,530.1,0.9,308
254,150,26,0.81,2.9,530.1,0.8,300
255,150,26,0.76,4,530.1,0.88,266
256,150,27,0.77,4,551.3,0.9,345
257,150,27,0.68,4.1,551.3,1.1,310
258,150,27,0.81,4.5,551.3,0.88,270
259,150,28,0.81,4.4,572.6,0.8,320
260,150,28,0.83,4.2,572.6,0.88,290
261,150,28,0.95,3.9,572.6,0.82,300
262,150,28,0.93,4,572.6,1.12,350
,,,,,,,
,75,10,0.4,1.4,47.7129285,0.45,67
,150,29,0.95,4.5,593.760888,1.14,354
,115.812977099237,19.7557251908397,0.702082165147869,2.97538167938931,257.634125493463,0.78469465648855,204.580152671756
,28.2038172926444,5.6547767120952,0.144513564762707,0.77056408614132,152.892723826316,0.16234306388877,64.2862461468607
